sales_person,country,product,date,amount,boxes_shipped
Van Tuxwell,India,Spicy Special Slims,2022-11-04,6167.00,4
Jan Morforth,New Zealand,Mint Chip Choco,,18340.00,285
Dotty Strutley,New Zealand,White Choc,,7014.00,60
Rafaelita Blaksland,Canada,Caramel Stuffed Bars,2022-01-08,7119.00,101
Kaine Padly,USA,Milk Bars,,15491.00,58
Brien Boise,India,After Nines,,5747.00,45
Oby Sorrel,New Zealand,Raspberry Choco,,4550.00,281
Dennison Crosswaite,USA,Drinking Coco,2022-10-05,2191.00,138
Oby Sorrel,India,Eclairs,,5663.00,322
Ches Bonnell,New Zealand,Organic Choco Syrup,,7623.00,85
Gigi Bohling,UK,Baker's Choco Chips,,9023.00,409
Jan Morforth,Australia,50% Dark Bites,,3402.00,182
Beverie Moffet,Australia,Smooth Sliky Salty,,10507.00,467
Ches Bonnell,USA,Organic Choco Syrup,,7721.00,14
Brien Boise,Canada,Mint Chip Choco,,5033.00,178
Kaine Padly,UK,Orange Choco,,1960.00,191
Karlen McCaffrey,Australia,70% Dark Bites,,238.00,317
Gunar Cockshoot,Canada,Mint Chip Choco,2022-01-07,7756.00,410
Roddy Speechley,USA,Peanut Butter Cubes,,1736.00,137
Curtice Advani,Canada,Smooth Sliky Salty,2022-01-08,2660.00,12
Oby Sorrel,Australia,Milk Bars,,7672.00,254
Camilla Castle,New Zealand,Spicy Special Slims,,11564.00,24
Gigi Bohling,UK,Milk Bars,,1365.00,232
Andria Kimpton,Australia,85% Dark Bars,,4186.00,233
Camilla Castle,Australia,Smooth Sliky Salty,2022-03-03,7406.00,118
Roddy Speechley,India,Caramel Stuffed Bars,,8911.00,543
Karlen McCaffrey,USA,Drinking Coco,,112.00,223
Andria Kimpton,Canada,Organic Choco Syrup,2022-04-01,8204.00,204
Jehu Rudeforth,Australia,Drinking Coco,,2611.00,65
Karlen McCaffrey,USA,Mint Chip Choco,,15652.00,53
Curtice Advani,New Zealand,Spicy Special Slims,2022-10-01,4074.00,469
Madelene Upcott,USA,White Choc,2022-04-05,12250.00,213
Andria Kimpton,USA,Spicy Special Slims,,2366.00,5
Barr Faughny,New Zealand,Fruit & Nut Bars,,1687.00,147
Oby Sorrel,Canada,Organic Choco Syrup,2022-05-07,1232.00,74
Madelene Upcott,UK,Organic Choco Syrup,,6965.00,163
Dotty Strutley,USA,Mint Chip Choco,,5292.00,248
Kelci Walkden,USA,Orange Choco,2022-03-02,1379.00,138
Gigi Bohling,Australia,Caramel Stuffed Bars,2022-08-07,8001.00,151
Mallorie Waber,India,50% Dark Bites,,588.00,139
Van Tuxwell,New Zealand,Mint Chip Choco,,4046.00,103
Van Tuxwell,India,50% Dark Bites,,5103.00,129
Van Tuxwell,USA,Manuka Honey Choco,,2317.00,102
Wilone O'Kielt,USA,Orange Choco,,7042.00,37
Barr Faughny,New Zealand,Eclairs,,6713.00,31
Gigi Bohling,USA,After Nines,,1848.00,227
Barr Faughny,New Zealand,Mint Chip Choco,,6440.00,145
Dennison Crosswaite,Canada,85% Dark Bars,2022-01-08,10885.00,90
Beverie Moffet,New Zealand,Smooth Sliky Salty,,2387.00,59
Husein Augar,USA,White Choc,,2030.00,60
Andria Kimpton,Australia,Peanut Butter Cubes,,6678.00,148
Dennison Crosswaite,India,85% Dark Bars,,4515.00,22
Curtice Advani,UK,50% Dark Bites,2022-08-03,3374.00,142
Gunar Cockshoot,USA,Fruit & Nut Bars,2022-09-03,5852.00,93
Oby Sorrel,Canada,Raspberry Choco,,1750.00,208
Gigi Bohling,UK,Drinking Coco,,5782.00,42
Kelci Walkden,India,Mint Chip Choco,,2870.00,120
Karlen McCaffrey,Canada,Peanut Butter Cubes,2022-12-08,3094.00,159
Barr Faughny,UK,Mint Chip Choco,2022-07-07,3724.00,316
Barr Faughny,USA,85% Dark Bars,,12761.00,47
Husein Augar,Canada,Eclairs,,3696.00,233
Jan Morforth,Australia,70% Dark Bites,2022-04-03,5222.00,384
Marney O'Breen,New Zealand,Fruit & Nut Bars,,8939.00,4
Ches Bonnell,UK,Peanut Butter Cubes,,2156.00,260
Kaine Padly,USA,Organic Choco Syrup,2022-11-03,2380.00,22
Camilla Castle,USA,Raspberry Choco,,3339.00,18
Brien Boise,New Zealand,Manuka Honey Choco,,14980.00,42
Jehu Rudeforth,New Zealand,After Nines,,1512.00,73
Jehu Rudeforth,USA,Smooth Sliky Salty,2022-07-07,6657.00,154
Madelene Upcott,India,Mint Chip Choco,,3836.00,71
Jehu Rudeforth,India,Eclairs,,8771.00,127
Karlen McCaffrey,Canada,Raspberry Choco,2022-09-05,651.00,224
Kaine Padly,Australia,70% Dark Bites,2022-08-02,6706.00,223
Roddy Speechley,UK,70% Dark Bites,,1421.00,284
Rafaelita Blaksland,USA,Drinking Coco,,8526.00,73
Mallorie Waber,Canada,Manuka Honey Choco,2022-07-03,1435.00,112
Kaine Padly,Australia,Fruit & Nut Bars,,7434.00,85
Oby Sorrel,New Zealand,Organic Choco Syrup,,15316.00,270
Madelene Upcott,UK,99% Dark & Pure,,10479.00,45
Madelene Upcott,Australia,Mint Chip Choco,2022-02-05,2751.00,153
Curtice Advani,Canada,99% Dark & Pure,2022-07-07,12586.00,7
Rafaelita Blaksland,Australia,Baker's Choco Chips,,2786.00,51
Karlen McCaffrey,Australia,After Nines,2022-11-08,2303.00,67
Marney O'Breen,UK,99% Dark & Pure,,8113.00,194
Gunar Cockshoot,Australia,50% Dark Bites,2022-02-03,12271.00,116
Marney O'Breen,Australia,Choco Coated Almonds,,11298.00,41
Kelci Walkden,New Zealand,Drinking Coco,2022-10-03,15855.00,111
Beverie Moffet,USA,85% Dark Bars,,12404.00,334
Roddy Speechley,USA,Eclairs,,3990.00,155
Dennison Crosswaite,UK,Milk Bars,2022-07-03,10808.00,407
Wilone O'Kielt,UK,Organic Choco Syrup,2022-12-07,4858.00,52
Madelene Upcott,USA,Orange Choco,,7742.00,138
Gunar Cockshoot,India,Smooth Sliky Salty,2022-02-03,3752.00,70
Marney O'Breen,New Zealand,85% Dark Bars,,1218.00,149
Marney O'Breen,UK,Manuka Honey Choco,2022-10-06,10983.00,179
Brien Boise,USA,99% Dark & Pure,,6769.00,353
Beverie Moffet,New Zealand,Mint Chip Choco,2022-09-06,4361.00,97
Dennison Crosswaite,USA,Milk Bars,2022-12-05,777.00,60
Gunar Cockshoot,USA,Drinking Coco,2022-09-05,3843.00,5
Brien Boise,Canada,Manuka Honey Choco,2022-09-08,6930.00,182
Van Tuxwell,India,Choco Coated Almonds,,5733.00,114
Andria Kimpton,USA,Caramel Stuffed Bars,2022-02-05,8393.00,46
Dotty Strutley,USA,99% Dark & Pure,2022-09-08,3822.00,320
Camilla Castle,Australia,Raspberry Choco,,6342.00,178
Gunar Cockshoot,India,Spicy Special Slims,,6510.00,170
Karlen McCaffrey,USA,Manuka Honey Choco,2022-01-02,10171.00,67
Camilla Castle,USA,50% Dark Bites,,5908.00,301
Madelene Upcott,UK,Choco Coated Almonds,,10164.00,134
Jan Morforth,Canada,Mint Chip Choco,2022-01-04,1064.00,211
Camilla Castle,Canada,70% Dark Bites,,9716.00,151
Ches Bonnell,India,Peanut Butter Cubes,,22050.00,208
Jan Morforth,India,Choco Coated Almonds,2022-12-08,2541.00,134
Gigi Bohling,Canada,Almond Choco,2022-01-02,9989.00,49
Rafaelita Blaksland,India,After Nines,2022-02-03,4739.00,204
Kelci Walkden,Australia,99% Dark & Pure,,3185.00,34
Dotty Strutley,Australia,Spicy Special Slims,,8225.00,91
Brien Boise,USA,Milk Bars,2022-07-07,14301.00,130
Mallorie Waber,New Zealand,Mint Chip Choco,,1316.00,107
Beverie Moffet,UK,99% Dark & Pure,2022-10-08,3486.00,121
Beverie Moffet,USA,Peanut Butter Cubes,,13930.00,339
Brien Boise,New Zealand,White Choc,,5509.00,321
Marney O'Breen,USA,Baker's Choco Chips,,8470.00,9
Kelci Walkden,USA,Spicy Special Slims,,77.00,69
Mallorie Waber,Canada,White Choc,2022-03-03,3381.00,72
Kaine Padly,Australia,Almond Choco,,4102.00,392
Oby Sorrel,USA,Smooth Sliky Salty,2022-04-03,3577.00,158
Dennison Crosswaite,India,Smooth Sliky Salty,2022-07-07,2975.00,9
Camilla Castle,New Zealand,Caramel Stuffed Bars,,4137.00,347
Jan Morforth,Canada,Caramel Stuffed Bars,2022-02-08,9541.00,114
Oby Sorrel,USA,Baker's Choco Chips,2022-12-08,8001.00,120
Madelene Upcott,New Zealand,Peanut Butter Cubes,,5152.00,333
Kelci Walkden,Australia,Orange Choco,,11116.00,432
Marney O'Breen,Australia,Manuka Honey Choco,2022-05-04,13076.00,236
Kaine Padly,Canada,Manuka Honey Choco,,10213.00,135
Jehu Rudeforth,UK,Baker's Choco Chips,,2485.00,97
Kelci Walkden,Australia,White Choc,,8715.00,168
Curtice Advani,India,85% Dark Bars,,273.00,402
Kaine Padly,USA,Eclairs,,7623.00,10
Gunar Cockshoot,UK,99% Dark & Pure,2022-07-03,7.00,84
Beverie Moffet,UK,Choco Coated Almonds,2022-04-03,3010.00,69
Dotty Strutley,Canada,Manuka Honey Choco,,11550.00,111
Kaine Padly,Australia,Milk Bars,2022-09-06,4046.00,89
Jan Morforth,Canada,Fruit & Nut Bars,,8904.00,199
Jan Morforth,India,Smooth Sliky Salty,2022-03-08,11298.00,89
Rafaelita Blaksland,Australia,Manuka Honey Choco,2022-03-08,4396.00,131
Jehu Rudeforth,UK,Milk Bars,2022-03-05,12068.00,227
Husein Augar,Canada,After Nines,,9772.00,301
Roddy Speechley,USA,50% Dark Bites,2022-11-02,10458.00,316
Van Tuxwell,India,Almond Choco,,6426.00,390
Kelci Walkden,USA,50% Dark Bites,,6188.00,223
Madelene Upcott,Canada,85% Dark Bars,,7504.00,101
Dennison Crosswaite,Canada,Smooth Sliky Salty,,1750.00,479
Mallorie Waber,Australia,Spicy Special Slims,,5439.00,287
Ches Bonnell,Canada,Choco Coated Almonds,,15547.00,269
Gigi Bohling,Canada,Spicy Special Slims,2022-04-07,11956.00,277
Roddy Speechley,New Zealand,Almond Choco,,2723.00,67
Curtice Advani,India,Smooth Sliky Salty,,19327.00,135
Ches Bonnell,New Zealand,Mint Chip Choco,,9058.00,229
Van Tuxwell,New Zealand,Fruit & Nut Bars,,2996.00,88
Andria Kimpton,New Zealand,Mint Chip Choco,,8848.00,211
Andria Kimpton,UK,Milk Bars,2022-11-02,14336.00,293
Camilla Castle,USA,Manuka Honey Choco,,16401.00,179
Gunar Cockshoot,New Zealand,Almond Choco,2022-05-01,5173.00,129
Brien Boise,India,Raspberry Choco,,6328.00,164
Jehu Rudeforth,USA,99% Dark & Pure,2022-04-01,2534.00,219
Beverie Moffet,Australia,Fruit & Nut Bars,,1435.00,258
Gigi Bohling,Canada,Milk Bars,2022-10-02,3052.00,116
Dotty Strutley,India,Spicy Special Slims,2022-12-08,910.00,204
Gunar Cockshoot,USA,Organic Choco Syrup,2022-10-08,2331.00,321
Kelci Walkden,Australia,Raspberry Choco,2022-07-06,679.00,56
Jehu Rudeforth,India,Baker's Choco Chips,2022-06-06,2086.00,74
Karlen McCaffrey,New Zealand,Baker's Choco Chips,2022-05-04,5012.00,189
Wilone O'Kielt,USA,50% Dark Bites,,4501.00,131
Andria Kimpton,India,50% Dark Bites,,13482.00,15
Madelene Upcott,USA,Baker's Choco Chips,,5621.00,140
Jehu Rudeforth,Australia,99% Dark & Pure,,10486.00,198
Jan Morforth,Australia,Mint Chip Choco,,17626.00,103
Oby Sorrel,New Zealand,Milk Bars,2022-12-01,4494.00,187
Brien Boise,UK,Almond Choco,,105.00,125
Kelci Walkden,India,Smooth Sliky Salty,2022-01-02,2464.00,8
Rafaelita Blaksland,UK,Eclairs,,1379.00,70
Gigi Bohling,USA,Smooth Sliky Salty,,2583.00,126
Curtice Advani,New Zealand,Mint Chip Choco,,3220.00,265
Curtice Advani,USA,Mint Chip Choco,,4802.00,296
Madelene Upcott,New Zealand,Fruit & Nut Bars,,5677.00,21
Karlen McCaffrey,India,85% Dark Bars,,945.00,83
Ches Bonnell,Australia,Caramel Stuffed Bars,,8757.00,162
Kelci Walkden,USA,Fruit & Nut Bars,,4816.00,145
Kelci Walkden,Canada,Peanut Butter Cubes,2022-08-04,7532.00,44
Gigi Bohling,Canada,Drinking Coco,2022-06-07,3549.00,82
Husein Augar,India,Fruit & Nut Bars,2022-04-04,4340.00,226
Jan Morforth,New Zealand,Organic Choco Syrup,2022-02-03,1799.00,207
Gigi Bohling,New Zealand,Raspberry Choco,2022-09-08,1127.00,176
Dennison Crosswaite,Australia,Milk Bars,2022-09-06,10038.00,286
Ches Bonnell,UK,Caramel Stuffed Bars,2022-02-06,2926.00,300
Van Tuxwell,USA,Fruit & Nut Bars,2022-05-07,6279.00,235
Andria Kimpton,Canada,Eclairs,2022-11-08,308.00,125
Madelene Upcott,India,Choco Coated Almonds,2022-11-02,3500.00,145
Kelci Walkden,New Zealand,Spicy Special Slims,2022-11-08,658.00,65
Roddy Speechley,Australia,Drinking Coco,2022-12-05,12565.00,102
Wilone O'Kielt,USA,Milk Bars,,5012.00,93
Andria Kimpton,India,Organic Choco Syrup,,3955.00,134
Madelene Upcott,UK,Fruit & Nut Bars,2022-05-01,8512.00,189
Curtice Advani,Australia,50% Dark Bites,,504.00,232
Brien Boise,Canada,Raspberry Choco,,2800.00,45
Gunar Cockshoot,India,Mint Chip Choco,2022-08-08,4256.00,67
Dennison Crosswaite,India,Mint Chip Choco,,13573.00,138
Barr Faughny,India,Caramel Stuffed Bars,2022-04-01,6566.00,99
Brien Boise,India,Milk Bars,,13503.00,251
Beverie Moffet,UK,Spicy Special Slims,,8680.00,252
Barr Faughny,USA,Almond Choco,2022-03-02,385.00,78
Van Tuxwell,Canada,Raspberry Choco,,1267.00,130
Wilone O'Kielt,Australia,Baker's Choco Chips,,2961.00,154
Brien Boise,Australia,Milk Bars,,1981.00,52
Husein Augar,Australia,Fruit & Nut Bars,,7959.00,53
Madelene Upcott,Australia,Organic Choco Syrup,2022-05-07,10794.00,50
Van Tuxwell,India,White Choc,,1897.00,44
Gunar Cockshoot,Canada,After Nines,2022-04-08,2744.00,200
Jan Morforth,USA,Fruit & Nut Bars,,4382.00,361
Jan Morforth,Canada,After Nines,,4515.00,172
Barr Faughny,New Zealand,Manuka Honey Choco,,5474.00,239
Karlen McCaffrey,New Zealand,85% Dark Bars,,6069.00,55
Oby Sorrel,Australia,85% Dark Bars,,6944.00,27
Curtice Advani,Canada,Choco Coated Almonds,,5859.00,7
Kaine Padly,India,70% Dark Bites,,12173.00,301
Beverie Moffet,USA,White Choc,2022-11-03,5292.00,134
Ches Bonnell,New Zealand,After Nines,,5705.00,350
Husein Augar,India,Spicy Special Slims,,2492.00,33
Gunar Cockshoot,Canada,50% Dark Bites,2022-04-01,3024.00,23
Curtice Advani,India,Milk Bars,2022-05-04,3437.00,201
Beverie Moffet,India,Milk Bars,,1869.00,323
Husein Augar,Australia,White Choc,2022-11-05,3171.00,220
Andria Kimpton,Canada,Manuka Honey Choco,,4858.00,488
Jan Morforth,New Zealand,Orange Choco,2022-11-02,1225.00,84
Andria Kimpton,Canada,Smooth Sliky Salty,2022-08-07,1155.00,79
Gunar Cockshoot,UK,Raspberry Choco,2022-11-08,6811.00,344
Husein Augar,New Zealand,After Nines,2022-04-08,6433.00,7
Andria Kimpton,New Zealand,Orange Choco,,8169.00,88
Dennison Crosswaite,UK,Baker's Choco Chips,,2275.00,275
Jehu Rudeforth,Canada,Orange Choco,,3857.00,512
Jehu Rudeforth,UK,Smooth Sliky Salty,,1463.00,113
Andria Kimpton,UK,Caramel Stuffed Bars,2022-07-06,7924.00,275
Jan Morforth,UK,White Choc,,8799.00,47
Dotty Strutley,USA,Fruit & Nut Bars,,2898.00,276
Kelci Walkden,UK,Choco Coated Almonds,,9506.00,212
Gunar Cockshoot,New Zealand,After Nines,2022-09-08,7175.00,145
Kaine Padly,Canada,85% Dark Bars,2022-06-04,1729.00,31
Jan Morforth,New Zealand,Manuka Honey Choco,,1589.00,271
Gunar Cockshoot,New Zealand,Raspberry Choco,,630.00,52
Van Tuxwell,Australia,99% Dark & Pure,,112.00,128
Curtice Advani,USA,Drinking Coco,2022-07-02,5187.00,142
Brien Boise,Australia,Spicy Special Slims,2022-09-05,6223.00,256
Mallorie Waber,New Zealand,85% Dark Bars,2022-06-06,7714.00,106
Wilone O'Kielt,USA,Choco Coated Almonds,2022-06-06,9457.00,6
Beverie Moffet,New Zealand,Organic Choco Syrup,,6678.00,226
Gunar Cockshoot,UK,50% Dark Bites,,2107.00,121
Marney O'Breen,USA,Raspberry Choco,,6069.00,151
Jehu Rudeforth,UK,White Choc,,1862.00,284
Jehu Rudeforth,New Zealand,85% Dark Bars,2022-11-03,6972.00,89
Dotty Strutley,USA,85% Dark Bars,,10220.00,508
Rafaelita Blaksland,Australia,Smooth Sliky Salty,,3969.00,243
Curtice Advani,India,Manuka Honey Choco,,1547.00,170
Mallorie Waber,USA,Peanut Butter Cubes,,1162.00,18
Van Tuxwell,Canada,Peanut Butter Cubes,,6342.00,282
Kelci Walkden,New Zealand,Smooth Sliky Salty,2022-11-03,10633.00,277
Rafaelita Blaksland,USA,Smooth Sliky Salty,,15057.00,212
Rafaelita Blaksland,USA,White Choc,,4704.00,126
Roddy Speechley,Canada,Smooth Sliky Salty,2022-07-03,9338.00,11
Curtice Advani,New Zealand,After Nines,2022-05-04,7959.00,30
Camilla Castle,India,85% Dark Bars,2022-04-05,9023.00,51
Ches Bonnell,USA,Choco Coated Almonds,2022-04-01,14525.00,92
Marney O'Breen,Australia,Baker's Choco Chips,,5810.00,101
Wilone O'Kielt,New Zealand,Fruit & Nut Bars,2022-11-07,6426.00,98
Kaine Padly,Australia,Mint Chip Choco,,4403.00,159
Camilla Castle,New Zealand,Peanut Butter Cubes,,1582.00,62
Curtice Advani,Canada,Organic Choco Syrup,,791.00,22
Jan Morforth,India,99% Dark & Pure,,9100.00,187
Rafaelita Blaksland,Canada,Drinking Coco,2022-12-07,9884.00,200
Jan Morforth,UK,Orange Choco,,3780.00,201
Barr Faughny,New Zealand,50% Dark Bites,,4557.00,308
Curtice Advani,Australia,Eclairs,,5796.00,55
Jan Morforth,India,Caramel Stuffed Bars,2022-04-07,84.00,153
Andria Kimpton,UK,White Choc,2022-12-05,9037.00,101
Camilla Castle,New Zealand,Raspberry Choco,2022-04-04,4746.00,137
Madelene Upcott,Australia,Orange Choco,,6713.00,398
Roddy Speechley,Canada,Eclairs,2022-08-03,6237.00,88
Karlen McCaffrey,India,White Choc,,7483.00,232
Wilone O'Kielt,India,Mint Chip Choco,,1309.00,51
Andria Kimpton,UK,99% Dark & Pure,,1155.00,66
Marney O'Breen,UK,50% Dark Bites,,2989.00,124
Ches Bonnell,India,Choco Coated Almonds,2022-05-04,9625.00,78
Madelene Upcott,UK,Raspberry Choco,,7357.00,341
Wilone O'Kielt,Australia,50% Dark Bites,2022-03-08,10031.00,114
Gigi Bohling,Canada,White Choc,2022-11-07,6587.00,4
Wilone O'Kielt,New Zealand,Eclairs,2022-11-03,3311.00,22
Brien Boise,UK,Peanut Butter Cubes,2022-10-01,15330.00,30
Roddy Speechley,UK,Baker's Choco Chips,2022-04-04,14028.00,351
Karlen McCaffrey,Australia,50% Dark Bites,,6678.00,708
Marney O'Breen,New Zealand,Organic Choco Syrup,2022-08-07,8624.00,50
Jan Morforth,UK,Organic Choco Syrup,2022-12-04,1197.00,356
Rafaelita Blaksland,Canada,Fruit & Nut Bars,,483.00,185
Ches Bonnell,UK,Choco Coated Almonds,2022-07-06,1687.00,236
Gunar Cockshoot,Canada,Almond Choco,,1309.00,30
Husein Augar,USA,99% Dark & Pure,,9534.00,111
Dennison Crosswaite,Canada,Mint Chip Choco,2022-08-04,1694.00,289
Brien Boise,UK,Manuka Honey Choco,,70.00,103
Van Tuxwell,UK,Baker's Choco Chips,,2443.00,20
Barr Faughny,Australia,Caramel Stuffed Bars,,2933.00,55
Dennison Crosswaite,USA,Eclairs,,2044.00,90
Gigi Bohling,Australia,Raspberry Choco,,6524.00,303
Dennison Crosswaite,USA,Organic Choco Syrup,,12656.00,126
Beverie Moffet,Canada,Orange Choco,2022-10-05,8722.00,109
Mallorie Waber,Australia,Choco Coated Almonds,,15750.00,92
Ches Bonnell,India,Caramel Stuffed Bars,,6839.00,56
Van Tuxwell,Canada,50% Dark Bites,2022-12-05,13685.00,58
Kelci Walkden,New Zealand,Baker's Choco Chips,,2912.00,110
Beverie Moffet,India,Spicy Special Slims,,3339.00,171
Gigi Bohling,Australia,Almond Choco,,910.00,117
Rafaelita Blaksland,New Zealand,Eclairs,2022-07-02,19481.00,51
Kelci Walkden,Canada,Smooth Sliky Salty,,8099.00,118
Jan Morforth,India,Baker's Choco Chips,2022-01-08,13727.00,79
Jehu Rudeforth,Australia,Milk Bars,,8659.00,29
Gigi Bohling,Canada,Fruit & Nut Bars,,5782.00,103
Beverie Moffet,UK,Eclairs,,8463.00,155
Marney O'Breen,New Zealand,Eclairs,,4914.00,31
Husein Augar,Australia,99% Dark & Pure,,3087.00,128
Gunar Cockshoot,New Zealand,Fruit & Nut Bars,2022-10-06,9205.00,419
Curtice Advani,Canada,70% Dark Bites,,2303.00,7
Kelci Walkden,New Zealand,Manuka Honey Choco,2022-08-04,1358.00,106
Dotty Strutley,Australia,Baker's Choco Chips,2022-07-06,3605.00,68
Barr Faughny,Australia,85% Dark Bars,2022-10-02,8498.00,44
Beverie Moffet,Australia,50% Dark Bites,,700.00,457
Gunar Cockshoot,India,Baker's Choco Chips,,2191.00,524
Van Tuxwell,Australia,50% Dark Bites,,644.00,137
Oby Sorrel,USA,Manuka Honey Choco,,4340.00,86
Van Tuxwell,Canada,Choco Coated Almonds,,2282.00,296
Karlen McCaffrey,Canada,70% Dark Bites,,7714.00,597
Kelci Walkden,Canada,Fruit & Nut Bars,,826.00,149
Camilla Castle,India,99% Dark & Pure,2022-02-08,203.00,207
Madelene Upcott,New Zealand,70% Dark Bites,,13356.00,93
Mallorie Waber,New Zealand,Orange Choco,2022-01-02,6510.00,23
Jan Morforth,Canada,70% Dark Bites,,5894.00,305
Kelci Walkden,Australia,Milk Bars,,7910.00,125
Dennison Crosswaite,India,Orange Choco,,784.00,129
Husein Augar,UK,Eclairs,,1750.00,252
Gigi Bohling,USA,Peanut Butter Cubes,2022-09-05,280.00,75
Wilone O'Kielt,USA,Smooth Sliky Salty,,504.00,87
Curtice Advani,India,White Choc,2022-04-07,7154.00,342
Oby Sorrel,New Zealand,Spicy Special Slims,2022-03-06,1617.00,13
Beverie Moffet,New Zealand,Peanut Butter Cubes,,10822.00,30
Dotty Strutley,New Zealand,99% Dark & Pure,2022-09-05,10724.00,203
Kelci Walkden,India,70% Dark Bites,2022-06-06,3640.00,106
Kelci Walkden,India,Drinking Coco,2022-04-07,7532.00,234
Brien Boise,New Zealand,Drinking Coco,2022-06-06,1582.00,100
Dotty Strutley,Australia,Almond Choco,,1456.00,91
Wilone O'Kielt,New Zealand,Organic Choco Syrup,,2016.00,277
Ches Bonnell,New Zealand,Caramel Stuffed Bars,,7588.00,42
Barr Faughny,Canada,Manuka Honey Choco,,3402.00,249
Gigi Bohling,New Zealand,Smooth Sliky Salty,2022-10-01,700.00,97
Brien Boise,USA,Manuka Honey Choco,,1904.00,8
Roddy Speechley,New Zealand,85% Dark Bars,,4844.00,275
Oby Sorrel,UK,Smooth Sliky Salty,,9625.00,313
Oby Sorrel,UK,Raspberry Choco,2022-08-04,4599.00,323
Roddy Speechley,USA,Drinking Coco,,3003.00,155
Andria Kimpton,Australia,Manuka Honey Choco,,9744.00,377
Mallorie Waber,India,Raspberry Choco,2022-02-03,1400.00,2
Jehu Rudeforth,USA,Orange Choco,,364.00,170
Kaine Padly,New Zealand,70% Dark Bites,,7231.00,38
Curtice Advani,Australia,After Nines,2022-11-08,63.00,105
Husein Augar,UK,Almond Choco,,8309.00,166
Kaine Padly,Canada,Choco Coated Almonds,,3164.00,164
Roddy Speechley,UK,Peanut Butter Cubes,,5691.00,171
Ches Bonnell,New Zealand,Eclairs,2022-04-04,490.00,49
Brien Boise,India,85% Dark Bars,2022-09-08,18032.00,205
Brien Boise,New Zealand,Organic Choco Syrup,,637.00,313
Andria Kimpton,Canada,White Choc,,4067.00,29
Gigi Bohling,New Zealand,Orange Choco,,8204.00,307
Ches Bonnell,Canada,Smooth Sliky Salty,,9870.00,121
Husein Augar,Canada,70% Dark Bites,,5131.00,285
Barr Faughny,Canada,Organic Choco Syrup,2022-10-03,1141.00,205
Oby Sorrel,UK,Organic Choco Syrup,,7980.00,157
Van Tuxwell,New Zealand,Eclairs,2022-01-03,5229.00,182
Mallorie Waber,UK,Drinking Coco,,3423.00,100
Oby Sorrel,UK,Milk Bars,2022-11-07,6468.00,223
Karlen McCaffrey,New Zealand,Mint Chip Choco,2022-02-03,4326.00,61
Jehu Rudeforth,USA,Raspberry Choco,2022-04-03,7154.00,133
Kelci Walkden,UK,85% Dark Bars,,3997.00,228
Kelci Walkden,USA,Almond Choco,,5180.00,233
Marney O'Breen,Canada,Orange Choco,,2723.00,425
Dennison Crosswaite,India,Fruit & Nut Bars,,952.00,24
Brien Boise,Canada,Smooth Sliky Salty,,5691.00,495
Barr Faughny,Canada,Baker's Choco Chips,2022-03-02,10969.00,170
Brien Boise,India,Smooth Sliky Salty,,5964.00,26
Jan Morforth,Australia,Drinking Coco,,2821.00,24
Brien Boise,India,Spicy Special Slims,,1302.00,33
Van Tuxwell,UK,Eclairs,,5474.00,109
Wilone O'Kielt,India,Caramel Stuffed Bars,,4179.00,276
Jehu Rudeforth,UK,After Nines,,1946.00,164
Barr Faughny,Canada,White Choc,,4291.00,1
Gunar Cockshoot,India,Organic Choco Syrup,2022-03-06,7196.00,160
Mallorie Waber,Canada,Smooth Sliky Salty,,1939.00,98
Mallorie Waber,India,Eclairs,2022-12-04,10437.00,46
Rafaelita Blaksland,Australia,Raspberry Choco,,6916.00,259
Karlen McCaffrey,UK,50% Dark Bites,2022-06-04,3647.00,310
Kaine Padly,Australia,50% Dark Bites,2022-02-08,8995.00,78
Gigi Bohling,Australia,Eclairs,2022-12-04,7252.00,136
Oby Sorrel,India,Drinking Coco,,16380.00,130
Van Tuxwell,New Zealand,Baker's Choco Chips,,9660.00,24
Husein Augar,India,Peanut Butter Cubes,2022-09-05,4522.00,5
Andria Kimpton,Australia,Baker's Choco Chips,2022-09-08,329.00,109
Madelene Upcott,Canada,Choco Coated Almonds,,3458.00,294
Brien Boise,India,70% Dark Bites,,4641.00,413
Jehu Rudeforth,Canada,White Choc,,4627.00,136
Andria Kimpton,Australia,Almond Choco,,3192.00,175
Dotty Strutley,Canada,After Nines,,252.00,237
Karlen McCaffrey,USA,Eclairs,,868.00,125
Karlen McCaffrey,Canada,Fruit & Nut Bars,2022-02-06,210.00,16
Gunar Cockshoot,USA,85% Dark Bars,,7007.00,135
Dotty Strutley,New Zealand,Raspberry Choco,2022-10-02,5845.00,91
Marney O'Breen,Canada,Caramel Stuffed Bars,,1372.00,614
Dennison Crosswaite,India,Organic Choco Syrup,,8428.00,216
Camilla Castle,UK,Mint Chip Choco,,4977.00,317
Brien Boise,USA,70% Dark Bites,,1694.00,21
Madelene Upcott,Australia,99% Dark & Pure,2022-01-08,4326.00,154
Mallorie Waber,Australia,Eclairs,,9527.00,222
Marney O'Breen,India,99% Dark & Pure,,10766.00,157
Husein Augar,USA,Fruit & Nut Bars,,1288.00,27
Kelci Walkden,Australia,Almond Choco,,4879.00,350
Ches Bonnell,USA,Milk Bars,,2408.00,157
Jan Morforth,UK,Caramel Stuffed Bars,2022-02-08,3094.00,468
Brien Boise,New Zealand,70% Dark Bites,,7231.00,130
